cluster,x,y,z
PAD_01,8310,1030,0
PAD_02,11930,5850,0
PAD_03,8670,11670,0
PAD_04,2750,7160,0
PAD_05,4030,5910,0
PAD_06,-1800,10500,0
PAD_07,-3830,14300,0
PAD_08,-1650,7180,0
PAD_09,-8870,9470,0
PAD_10,-11340,4150,0
PAD_11,-13850,2990,0
PAD_12,-8700,0,0
PAD_13,-9660,-1390,0
PAD_14,-9540,-4150,0
PAD_15,-13260,-13860,0
PAD_16,-4150,-8390,0
PAD_17,-1150,-11010,0
PAD_18,-1800,-13300,0
PAD_19,4560,-14600,0
PAD_20,5950,-9590,0
PAD_21,6260,-9260,0
PAD_22,12560,-7250,0
PAD_23,18800,-3360,0
PAD_24,7900,2400,0
