well,cluster,field,layer,well_type,oil_rate,liq_rate,length,purpose,readiness_date
WELL_001,PAD_01,FIELD_A,ACH_2,ГС+ГРП,26.8,34.14,1145,production,2026-07-03
WELL_002,PAD_02,FIELD_A,BV_8,ГС+ГРП,31.6,42.13,1310,production,2026-07-05
WELL_003,PAD_03,FIELD_A,YU_1,ГС,36.4,50.91,1475,production,2026-07-07
WELL_004,PAD_04,FIELD_A,BS_10,ГС+ГРП,41.2,60.59,1640,production,2026-07-09
WELL_005,PAD_05,FIELD_A,PK_19,ННС+ГРП,46.0,71.32,1805,production,2026-07-11
WELL_006,PAD_06,FIELD_A,ACH_1,ГС+ГРП,50.8,83.28,1970,production,2026-07-13
WELL_007,PAD_07,FIELD_A,ACH_2,ГС+ГРП,55.6,96.7,2135,production,2026-07-15
WELL_008,PAD_08,FIELD_A,BV_8,ГС+ГРП,60.4,111.85,2300,production,2026-07-17
WELL_009,PAD_09,FIELD_A,YU_1,ГС+ГРП,65.2,129.11,2465,production,2026-07-19
WELL_010,PAD_10,FIELD_A,BS_10,ГС+ГРП,70.0,148.94,980,production,2026-07-21
WELL_011,PAD_11,FIELD_A,PK_19,ГС+ГРП,74.8,171.95,1145,production,2026-07-23
WELL_012,PAD_12,FIELD_A,ACH_1,ГС+ГРП,79.6,97.07,1310,production,2026-07-25
WELL_013,PAD_13,FIELD_A,ACH_2,ГС+ГРП,22.0,28.03,1475,production,2026-07-27
WELL_014,PAD_14,FIELD_A,BV_8,ГС+ГРП,26.8,35.73,1640,production,2026-07-29
WELL_015,PAD_15,FIELD_A,YU_1,ГС+ГРП,31.6,44.2,1805,production,2026-07-31
WELL_016,PAD_16,FIELD_A,BS_10,ГС+ГРП,38.0,55.88,1970,production,2026-08-02
WELL_017,PAD_17,FIELD_A,PK_19,ГС+ГРП,42.8,66.36,2135,production,2026-08-04
WELL_018,PAD_18,FIELD_A,ACH_1,ГС,47.6,78.03,2300,production,2026-08-06
WELL_019,PAD_19,FIELD_A,ACH_2,ГС+ГРП,52.4,91.13,2465,production,2026-08-08
WELL_020,PAD_20,FIELD_A,BV_8,ГС+ГРП,57.2,105.93,980,production,2026-08-10
WELL_021,PAD_21,FIELD_A,YU_1,ГС+ГРП,62.0,122.77,1145,production,2026-08-12
WELL_022,PAD_22,FIELD_A,BS_10,МЗС+ГРП,66.8,142.13,1310,production,2026-08-14
WELL_023,PAD_23,FIELD_A,PK_19,ГС+ГРП,71.6,164.6,1475,production,2026-08-16
WELL_024,PAD_24,FIELD_A,ACH_1,ГС,76.4,93.17,1640,production,2026-08-18
WELL_025,PAD_01,FIELD_A,ACH_2,ГС+ГРП,81.2,103.44,1805,production,2026-08-20
WELL_026,PAD_02,FIELD_A,BV_8,ГС+ГРП,23.6,31.47,1970,production,2026-08-22
WELL_027,PAD_03,FIELD_A,YU_1,ГС+ГРП,28.4,39.72,2135,production,2026-08-24
WELL_028,PAD_04,FIELD_A,BS_10,ГС+ГРП,33.2,48.82,2300,production,2026-08-26
WELL_029,PAD_05,FIELD_A,PK_19,ГС+ГРП,38.0,58.91,2465,production,2026-08-28
WELL_030,PAD_06,FIELD_A,ACH_1,ГС+ГРП,42.8,70.16,980,production,2026-08-30
WELL_031,PAD_07,FIELD_A,ACH_2,ГС+ГРП,47.6,82.78,1145,production,2026-09-01
WELL_032,PAD_08,FIELD_A,BV_8,ГС+ГРП,54.0,100.0,1310,production,2026-09-03
WELL_033,PAD_09,FIELD_A,YU_1,ГС+ГРП,58.8,116.44,1475,production,2026-09-05
WELL_034,PAD_10,FIELD_A,BS_10,ГС+ГРП,63.6,135.32,1640,production,2026-09-07
